Id,Category
0,2
1,9
2,9
3,9
4,5
5,9
6,9
7,9
8,9
9,2
10,2
11,2
12,9
13,10
14,9
15,9
16,2
17,9
18,5
19,2
20,9
21,5
22,2
23,2
24,2
25,2
26,5
27,9
28,5
29,9
30,5
31,5
32,9
33,2
34,5
35,5
36,5
37,2
38,3
39,9
40,9
41,3
42,2
43,9
44,5
45,2
46,9
47,9
48,9
49,9
50,5
51,2
52,9
53,9
54,9
55,2
56,9
57,2
58,9
59,9
60,5
61,9
62,9
63,9
64,9
65,2
66,2
67,2
68,5
69,3
70,5
71,5
72,5
73,5
74,5
75,9
76,9
77,2
78,5
79,9
80,9
81,9
82,9
83,2
84,2
85,9
86,9
87,9
88,9
89,5
90,2
91,9
92,9
93,5
94,9
95,5
96,2
97,2
98,9
99,9
100,9
101,9
102,9
103,5
104,9
105,9
106,9
107,9
108,9
109,9
110,5
111,5
112,9
113,2
114,9
115,9
116,9
117,9
118,9
119,9
120,2
121,5
122,9
123,5
124,2
125,5
126,5
127,9
128,9
129,9
130,5
131,5
132,9
133,2
134,2
135,2
136,9
137,3
138,10
139,3
140,9
141,9
142,5
143,5
144,2
145,9
146,9
147,9
148,9
149,5
150,5
151,9
152,9
153,9
154,9
155,2
156,9
157,2
158,2
159,5
160,5
161,2
162,5
163,9
164,5
165,5
166,5
167,9
168,9
169,9
170,2
171,2
172,9
173,9
174,9
175,9
176,2
177,9
178,9
179,3
180,9
181,5
182,9
183,5
184,3
185,9
186,5
187,2
188,2
189,9
190,2
191,2
192,9
193,9
194,9
195,5
196,5
197,9
198,9
199,9
200,9
201,2
202,5
203,2
204,5
205,9
206,9
207,9
208,5
209,9
210,9
211,5
212,2
213,2
214,9
215,5
216,10
217,2
218,9
219,9
220,5
221,5
222,5
223,9
224,5
225,5
226,9
227,5
228,9
229,2
230,9
231,2
232,2
233,9
234,9
235,2
236,9
237,2
238,9
239,9
240,9
241,2
242,9
243,9
244,2
245,9
246,9
247,9
248,3
249,5
250,9
251,9
252,9
253,3
254,5
255,9
256,2
257,9
258,9
259,2
260,9
261,3
262,9
263,10
264,5
265,9
266,2
267,9
268,9
269,9
270,9
271,2
272,9
273,5
274,5
275,3
276,9
277,2
278,5
279,9
280,2
281,9
282,5
283,2
284,9
285,9
286,2
287,9
288,2
289,9
290,9
291,9
292,2
293,9
294,2
295,9
296,9
297,9
298,2
299,9
300,9
301,5
302,9
303,3
304,9
305,10
306,5
307,2
308,9
309,2
310,9
311,9
312,2
313,5
314,5
315,9
316,2
317,9
318,9
319,2
320,9
321,5
322,2
323,9
324,9
325,9
326,5
327,9
328,3
329,5
330,9
331,9
332,9
333,9
334,9
335,2
336,9
337,9
338,5
339,3
340,9
341,9
342,5
343,9
344,9
345,9
346,9
347,5
348,9
349,9
350,9
351,9
352,9
353,9
354,9
355,9
356,9
357,5
358,5
359,9
360,9
361,5
362,2
363,5
364,9
365,5
366,5
367,2
368,2
369,9
370,5
371,9
372,5
373,9
374,9
375,9
376,5
377,9
378,2
379,5
380,9
381,9
382,9
383,2
384,9
385,9
386,9
387,5
388,3
389,2
390,9
391,2
392,9
393,9
394,2
395,9
396,5
397,2
398,5
399,2
400,9
401,2
402,9
403,9
404,9
405,2
406,9
407,9
408,5
409,9
410,9
411,9
412,9
413,2
414,2
415,9
416,9
417,9
418,2
419,2
420,5
421,9
422,5
423,5
424,9
425,3
426,3
427,9
428,9
429,9
430,5
431,2
432,9
433,5
434,9
435,5
436,5
437,9
438,5
439,2
440,10
441,2
442,9
443,2
444,5
445,2
446,9
447,9
448,9
449,2
450,5
451,9
452,9
453,2
454,9
455,9
456,9
457,5
458,2
459,3
460,9
461,2
462,9
463,9
464,2
465,2
466,5
467,3
468,9
469,9
470,5
471,9
472,2
473,2
474,9
475,9
476,9
477,2
478,2
479,9
480,5
481,9
482,9
483,9
484,9
485,5
486,2
487,9
488,5
489,9
490,9
491,9
492,2
493,2
494,5
495,2
496,9
497,9
498,2
499,10
500,3
501,10
502,5
503,2
504,9
505,9
506,9
507,9
508,9
509,5
510,2
511,2
512,9
513,9
514,9
515,2
516,9
517,9
518,9
519,10
520,5
521,9
522,3
523,9
524,2
525,2
526,9
527,2
528,9
529,9
530,5
531,9
532,9
533,9
534,9
535,3
536,2
537,5
538,9
539,9
540,3
541,9
542,3
543,2
544,9
545,2
546,9
547,9
548,9
549,9
550,2
551,2
552,2
553,5
554,9
555,2
556,2
557,9
558,9
559,5
560,9
561,9
562,5
563,2
564,5
565,5
566,5
567,2
568,9
569,9
570,5
571,5
572,9
573,5
574,2
575,5
576,2
577,9
578,2
579,9
580,2
581,5
582,5
583,5
584,9
585,3
586,5
587,9
588,3
589,5
590,9
591,9
592,9
593,5
594,3
595,9
596,5
597,2
598,9
599,9
600,5
601,3
602,3
603,9
604,9
605,9
606,9
607,5
608,5
609,2
610,5
611,5
612,5
613,9
614,9
615,10
616,3
617,9
618,9
619,5
620,2
621,9
622,9
623,9
624,5
625,9
626,9
627,5
628,2
629,3
630,9
631,9
632,5
633,5
634,9
635,2
636,9
637,9
638,5
639,5
640,5
641,3
642,9
643,9
644,9
645,9
646,9
647,5
648,5
649,2
650,9
651,5
652,9
653,5
654,2
655,5
656,5
657,9
658,2
659,9
660,2
661,10
662,9
663,9
664,9
665,9
666,3
667,5
668,9
669,9
670,2
671,9
672,9
673,9
674,9
675,5
676,2
677,5
678,5
679,2
680,2
681,9
682,5
683,9
684,3
685,9
686,3
687,5
688,3
689,9
690,5
691,2
692,2
693,9
694,9
695,9
696,2
697,9
698,9
699,3
700,2
701,5
702,9
703,9
704,2
705,5
706,9
707,2
708,5
709,9
710,9
711,5
712,10
713,9
714,9
715,9
716,5
717,5
718,9
719,9
720,9
721,5
722,9
723,9
724,9
725,9
726,9
727,3
728,5
729,9
730,2
731,9
732,2
733,9
734,9
735,2
736,2
737,5
738,9
739,9
740,9
741,2
742,2
743,3
744,3
745,5
746,2
747,2
748,9
749,9
750,5
751,2
752,5
753,5
754,5
755,5
756,2
757,9
758,9
759,9
760,5
761,5
762,9
763,9
764,2
765,2
766,9
767,2
768,5
769,9
770,9
771,9
772,9
773,5
774,9
775,2
776,2
777,5
778,9
779,9
780,9
781,2
782,5
783,9
784,2
785,9
786,9
787,9
788,5
789,9
790,9
791,5
792,2
793,2
794,2
795,5
796,3
797,2
798,9
799,9
800,9
801,2
802,5
803,5
804,9
805,9
806,3
807,9
808,10
809,5
810,9
811,9
812,5
813,2
814,9
815,9
816,5
817,2
818,9
819,2
820,9
821,2
822,9
823,3
824,9
825,9
826,9
827,2
828,5
829,9
830,9
831,9
832,5
833,2
834,5
835,9
836,5
837,9
838,2
839,9
840,9
841,9
842,9
843,9
844,2
845,2
846,9
847,9
848,9
849,2
850,9
851,2
852,9
853,2
854,10
855,9
856,10
857,5
858,9
859,5
860,2
861,2
862,9
863,3
864,2
865,9
866,5
867,9
868,9
869,5
870,9
871,3
872,5
873,9
874,5
875,3
876,5
877,9
878,5
879,3
880,5
881,9
882,3
883,9
884,5
885,2
886,9
887,9
888,5
889,9
890,9
891,9
892,9
893,9
894,2
895,2
896,9
897,5
898,9
899,5
900,9
901,9
902,9
903,2
904,5
905,9
906,9
907,5
908,9
909,9
910,10
911,2
912,9
913,2
914,9
915,3
916,9
917,9
918,2
919,5
920,9
921,5
922,9
923,3
924,9
925,5
926,2
927,9
928,9
929,9
930,9
931,9
932,9
933,9
934,9
935,5
936,2
937,2
938,9
939,9
940,2
941,9
942,5
943,3
944,9
945,9
946,9
947,2
948,9
949,2
950,5
951,2
952,9
953,9
954,9
955,2
956,9
957,5
958,9
959,5
960,2
961,9
962,5
963,9
964,9
965,9
966,5
967,5
968,2
969,9
970,9
971,9
972,5
973,9
974,9
975,5
976,9
977,5
978,9
979,9
980,9
981,9
982,9
983,2
984,5
985,9
986,5
987,5
988,9
989,9
990,5
991,3
992,5
993,3
994,9
995,9
996,9
997,5
998,2
999,9
1000,9
1001,5
1002,9
1003,9
1004,9
1005,9
1006,3
1007,2
1008,3
1009,5
1010,5
1011,2
1012,9
1013,5
1014,9
1015,5
